WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT	[0.6623280786078156, 0.0, 0.0, 0.0, 0.7492139322567882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement	[0.2522356667119435, 0.2664039104832009, 0.12025455271074383, 0.245625522262403, 0.0, 0.14350560312900643, 0.15060603331823094, 0.11657944203673683, 0.0, 0.1671302784785612, 0.2798416854209109, 0.7180413207740852, 0.16265582289892427, 0.23557026870202818, 0.1731148842088099]
PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT 	[0.0, 0.25658394204511215, 0.11582182531566135, 0.630857253856024, 0.0, 0.0, 0.0, 0.22456436727937468, 0.0, 0.16096965547294678, 0.10781055377694738, 0.46104896959238756, 0.313320267411235, 0.11344343268565532, 0.3334673228813626]
FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7599501671506229, 0.6499813408458278, 0.0, 0.0, 0.0]
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement	[0.0, 0.3259879111158487, 0.0, 0.0, 0.34914037532895453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23430365801007455, 0.7961419461369861, 0.288258005206781, 0.0]
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement	[0.5485417857965063, 0.0, 0.2615199030097676, 0.35611105115938585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4868617031433394, 0.0, 0.3537307658598125, 0.0, 0.3764762888997077]
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT	[0.43817867210541805, 0.46279145713571795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38890822924740875, 0.6652622849205992, 0.0, 0.0, 0.0]
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5669097965300747, 0.0, 0.8237798750869247, 0.0, 0.0]
BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT	[0.0, 0.5574974892859114, 0.0, 0.6853533629565617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4684947356417534, 0.0, 0.0, 0.0, 0.0]
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1	[0.20119940877279296, 0.21250091227261828, 0.19184554843522195, 0.0, 0.6827797510770957, 0.22893861824951817, 0.2402661388553645, 0.0, 0.0, 0.0, 0.17857579743777982, 0.0, 0.5189790298465523, 0.0, 0.0]
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT	[0.19602044197432536, 0.2070310394930876, 0.0, 0.5090226301636764, 0.2217348937447945, 0.0, 0.0, 0.18119526117025025, 0.0, 0.0, 0.5219375188999759, 0.44641038720254833, 0.0, 0.18306922565283534, 0.2690662788280313]
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT	[0.0, 0.16188164709276998, 0.1461465413770426, 0.0, 0.0, 0.1744037717721853, 0.18303299445899998, 0.14168014320685518, 0.8797322441873505, 0.0, 0.27207548345059596, 0.0, 0.0, 0.14314543294204174, 0.0]
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT	[0.0, 0.0, 0.3935691265910212, 0.0, 0.0, 0.4696651695196466, 0.4929034590064108, 0.0, 0.0, 0.0, 0.0, 0.31333410569834996, 0.532340012999392, 0.0, 0.0]
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT	[0.0, 0.2065818266863333, 0.18650180563246607, 0.0, 0.6637613302148694, 0.22256167021229634, 0.23357366951882516, 0.18080210644311293, 0.2806629059916563, 0.25920098665273855, 0.17360167559816497, 0.0, 0.25226158996451653, 0.18267200482601054, 0.26848246290066496]
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement	[0.15067672429071416, 0.0, 0.1436716886212027, 0.19563740834987067, 0.0, 0.0, 0.0, 0.27856184931681494, 0.6486261111587169, 0.19967551155010418, 0.26746814376489636, 0.3431461237182573, 0.0, 0.14072140110478773, 0.4136509958100173]
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT	[0.24994415453229432, 0.0, 0.23832412677998863, 0.0, 0.0, 0.0, 0.0, 0.23104068076934722, 0.0, 0.0, 0.4436790046527385, 0.7589525914063558, 0.0, 0.23343015843558282, 0.0]
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement	[0.25511184715293894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23581753671668726, 0.0, 0.0, 0.22642612033023754, 0.5809831735937895, 0.0, 0.0, 0.7003554803470697]
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement	[0.0, 0.0, 0.38492943699543175, 0.0, 0.4566555879937124, 0.0, 0.0, 0.3731655723370667, 0.0, 0.0, 0.358304280341147, 0.6129114950790684, 0.0, 0.0, 0.0]
Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT	[0.22640357624177723, 0.23912081445274463, 0.21587796165369616, 0.29396052446444987, 0.25610376354516806, 0.0, 0.0, 0.20928049500256046, 0.0, 0.0, 0.4018918287756688, 0.0, 0.2919956600976756, 0.6343347709578718, 0.0]
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT	[0.0, 0.569734833764178, 0.25717793509026426, 0.35019860341785813, 0.0, 0.30690293094660964, 0.3220880023900976, 0.0, 0.0, 0.0, 0.0, 0.4094966441846643, 0.3478578375670574, 0.0, 0.0]
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement	[0.0, 0.0, 0.23382033887571654, 0.0, 0.5547788974915244, 0.0, 0.0, 0.2266745335500001, 0.0, 0.3249644813385822, 0.4352944732100652, 0.37230505050179, 0.31626444715000895, 0.2290188554833432, 0.0]
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement	[0.2767632889156959, 0.0, 0.263896426299774, 0.0, 0.0, 0.31492043308190704, 0.3305021978458116, 0.2558314628429688, 0.0, 0.0, 0.49128598658492934, 0.0, 0.3569452416751628, 0.2584773326731133, 0.3798974612785913]
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT	[0.337227526969514, 0.0, 0.21436643461836527, 0.14595114078637572, 0.0, 0.25581388643570924, 0.26847115278954, 0.20781516188684737, 0.0, 0.29792736413398835, 0.3990778761154733, 0.5119937811028111, 0.289951174727071, 0.20996443571334503, 0.0]
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement	[0.0, 0.0, 0.0, 0.5687163758545848, 0.0, 0.0, 0.0, 0.40488853009004466, 0.0, 0.0, 0.3887638735902971, 0.0, 0.0, 0.0, 0.6012400623938969]
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT	[0.0, 0.6276346213514826, 0.0, 0.38578783467005406, 0.3361053888747246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2637173455133493, 0.22555604465982743, 0.38320918649659885, 0.27749603249121196, 0.0]
OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT	[0.6711792557051339, 0.0, 0.0, 0.0, 0.37961311445002505, 0.3818571146309745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5095070500536389, 0.0, 0.0, 0.0]
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement	[0.29644111887989094, 0.0, 0.09421980806197051, 0.44904613667992055, 0.3353290061708465, 0.11243707683280332, 0.11800028549730476, 0.3196912168209384, 0.0, 0.13094708187448814, 0.30695953717548746, 0.4875758855889587, 0.12744133230915344, 0.2768550337832107, 0.13563603867919982]
Antares Pharma, Inc. - Manufacturing Agreement	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement	[0.12359965456547467, 0.0, 0.11785344530159432, 0.32096153146354167, 0.5592550653581018, 0.14064024494372135, 0.1475989017434884, 0.22850343019303332, 0.0, 0.32758641879100475, 0.10970164878560229, 0.09382723743322939, 0.0, 0.5771666675260098, 0.0]
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement	[0.0, 0.2042831124171784, 0.18442652936684642, 0.0, 0.0, 0.4401702843374204, 0.23097460678598836, 0.17879025289025852, 0.0, 0.5126335181015025, 0.34333988793581166, 0.44048517331691767, 0.0, 0.0, 0.26549495679527707]
